[WARN] [1775886381.587820609] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886382.088992952] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886382.590992172] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886383.091831957] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886383.592650168] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886384.093466435] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886384.594294554] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886385.095396934] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886385.596592536] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886386.097425748] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886386.598290181] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886387.099154634] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886387.600095457] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886388.101225670] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886388.602388125] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886389.103529764] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886389.604666570] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886390.105829784] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886390.606980516] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886391.108130193] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886391.609315073] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886392.110469991] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886392.611653223] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886393.112806677] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886393.613958909] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886394.115164512] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886394.616390004] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886395.117589626] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886395.618726821] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886396.119943942] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886396.621153267] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886397.122337370] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886397.623543103] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886398.124768743] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886398.626010605] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886399.127255579] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886399.628493645] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886400.129735489] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886400.630985018] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886401.132227806] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886401.633465261] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886402.134703309] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886402.635925930] [uart_bridge]: Waiting for pose data from /pose topic...
