[WARN] [1782869252.432750014] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869252.532748455] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869252.632742711] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869252.732732503] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869252.832737204] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869252.932739515] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869253.032734660] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869253.132740342] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869253.232737061] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869253.332738557] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869253.432738869] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869253.532728662] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869253.632733214] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869253.732733285] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869253.832732466] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869253.932731685] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869254.032723589] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869254.132739475] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869254.232733471] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869254.332731801] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869254.432745057] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869254.532739924] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869254.632733569] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869254.732733825] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869254.832735451] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869254.932733374] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869255.032739296] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869255.132740219] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869255.232833290] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869255.332732027] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869255.432748783] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869255.532738094] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869255.632739998] [rf2o_laser_odometry_node]: Waiting for laser_scans....
