[INFO] [1775785608.305179295] [motor_controller]: Motor Controller Node started
[INFO] [1775785710.347644648] [motor_controller]: cmd_vel -> linear=0.00, angular=1.00, left=-0.20, right=0.20
[INFO] [1775785710.553257132] [motor_controller]: cmd_vel -> linear=0.00, angular=1.00, left=-0.20, right=0.20
[INFO] [1775785710.650248205] [motor_controller]: cmd_vel -> linear=0.00, angular=1.00, left=-0.20, right=0.20
[INFO] [1775785710.852986267] [motor_controller]: cmd_vel -> linear=0.00, angular=1.00, left=-0.20, right=0.20
[INFO] [1775785710.956103075] [motor_controller]: cmd_vel -> linear=0.00, angular=1.00, left=-0.20, right=0.20
[INFO] [1775785711.151863527] [motor_controller]: cmd_vel -> linear=0.00, angular=1.00, left=-0.20, right=0.20
[INFO] [1775785711.254615444] [motor_controller]: cmd_vel -> linear=0.00, angular=1.00, left=-0.20, right=0.20
[INFO] [1775785711.451214752] [motor_controller]: cmd_vel -> linear=0.00, angular=1.00, left=-0.20, right=0.20
[INFO] [1775785711.554894693] [motor_controller]: cmd_vel -> linear=0.00, angular=1.00, left=-0.20, right=0.20
[INFO] [1775785711.750293032] [motor_controller]: cmd_vel -> linear=0.00, angular=1.00, left=-0.20, right=0.20
[INFO] [1775785711.852770485] [motor_controller]: cmd_vel -> linear=0.00, angular=1.00, left=-0.20, right=0.20
[INFO] [1775785712.047863674] [motor_controller]: cmd_vel -> linear=0.00, angular=1.00, left=-0.20, right=0.20
[INFO] [1775785712.152840122] [motor_controller]: cmd_vel -> linear=0.00, angular=1.00, left=-0.20, right=0.20
[INFO] [1775785712.350427620] [motor_controller]: cmd_vel -> linear=0.00, angular=1.00, left=-0.20, right=0.20
[INFO] [1775785712.451370139] [motor_controller]: cmd_vel -> linear=0.00, angular=1.00, left=-0.20, right=0.20
[INFO] [1775785712.656248767] [motor_controller]: cmd_vel -> linear=0.00, angular=1.00, left=-0.20, right=0.20
[INFO] [1775785712.750964014] [motor_controller]: cmd_vel -> linear=0.00, angular=1.00, left=-0.20, right=0.20
[INFO] [1775785712.956417886] [motor_controller]: cmd_vel -> linear=0.00, angular=1.00, left=-0.20, right=0.20
[INFO] [1775785713.051038169] [motor_controller]: cmd_vel -> linear=0.00, angular=1.00, left=-0.20, right=0.20
[INFO] [1775785713.251723035] [motor_controller]: cmd_vel -> linear=0.00, angular=1.00, left=-0.20, right=0.20
[INFO] [1775785713.348487014] [motor_controller]: cmd_vel -> linear=-0.57, angular=0.36, left=-0.19, right=0.00
[INFO] [1775785713.551225946] [motor_controller]: cmd_vel -> linear=-0.40, angular=0.10, left=-0.10, right=-0.06
[INFO] [1775785713.656483858] [motor_controller]: cmd_vel -> linear=-0.12, angular=0.36, left=-0.10, right=0.00
[INFO] [1775785713.854105968] [motor_controller]: cmd_vel -> linear=-0.09, angular=0.36, left=-0.09, right=0.06
[INFO] [1775785714.048953007] [motor_controller]: cmd_vel -> linear=0.11, angular=0.30, left=0.00, right=0.08
[INFO] [1775785714.153963770] [motor_controller]: cmd_vel -> linear=0.13, angular=0.19, left=0.00, right=0.07
[INFO] [1775785714.352140604] [motor_controller]: cmd_vel -> linear=0.11, angular=0.07, left=0.00, right=0.00
[INFO] [1775785714.456117936] [motor_controller]: cmd_vel -> linear=0.32, angular=-0.07, left=0.08, right=0.05
[INFO] [1775785714.655414368] [motor_controller]: cmd_vel -> linear=0.22, angular=-0.15, left=0.08, right=0.00
[INFO] [1775785714.748870034] [motor_controller]: cmd_vel -> linear=0.30, angular=-0.37, left=0.13, right=0.00
[INFO] [1775785714.950463516] [motor_controller]: cmd_vel -> linear=0.45, angular=-0.44, left=0.18, right=0.00
[INFO] [1775785715.056002411] [motor_controller]: cmd_vel -> linear=0.45, angular=-0.50, left=0.19, right=0.00
[INFO] [1775785715.257142483] [motor_controller]: cmd_vel -> linear=0.08, angular=-0.64, left=0.15, right=-0.11
[INFO] [1775785715.353496219] [motor_controller]: cmd_vel -> linear=-0.01, angular=-0.67, left=0.13, right=-0.14
[INFO] [1775785715.550072379] [motor_controller]: cmd_vel -> linear=-0.03, angular=-0.65, left=0.12, right=-0.14
[INFO] [1775785715.654805566] [motor_controller]: cmd_vel -> linear=-0.00, angular=-0.66, left=0.13, right=-0.13
[INFO] [1775785715.855118523] [motor_controller]: cmd_vel -> linear=0.00, angular=-0.67, left=0.13, right=-0.13
[INFO] [1775785715.950847682] [motor_controller]: cmd_vel -> linear=-0.06, angular=-0.70, left=0.13, right=-0.15
[INFO] [1775785716.148517069] [motor_controller]: cmd_vel -> linear=-0.10, angular=-0.70, left=0.12, right=-0.16
[INFO] [1775785716.250644632] [motor_controller]: cmd_vel -> linear=-0.08, angular=-0.70, left=0.12, right=-0.16
[INFO] [1775785716.448334705] [motor_controller]: cmd_vel -> linear=-0.05, angular=-0.69, left=0.13, right=-0.15
[INFO] [1775785716.555403718] [motor_controller]: cmd_vel -> linear=-0.02, angular=-0.70, left=0.14, right=-0.15
[INFO] [1775785716.753829480] [motor_controller]: cmd_vel -> linear=-0.07, angular=-0.70, left=0.13, right=-0.16
[INFO] [1775785716.857965535] [motor_controller]: cmd_vel -> linear=-0.10, angular=-0.69, left=0.12, right=-0.16
[INFO] [1775785717.051941921] [motor_controller]: cmd_vel -> linear=-0.12, angular=-0.69, left=0.11, right=-0.16
