[INFO] [1775785857.859818957] [motor_controller]: Motor Controller Node started
[INFO] [1775785971.958170504] [motor_controller]: cmd_vel -> linear=0.51, angular=0.46, left=0.00, right=0.19
[INFO] [1775785972.153500499] [motor_controller]: cmd_vel -> linear=0.21, angular=0.49, left=-0.05, right=0.14
[INFO] [1775785972.256296283] [motor_controller]: cmd_vel -> linear=0.16, angular=0.57, left=-0.08, right=0.14
[INFO] [1775785972.454365644] [motor_controller]: cmd_vel -> linear=-0.05, angular=0.62, left=-0.13, right=0.11
[INFO] [1775785972.557347503] [motor_controller]: cmd_vel -> linear=-0.19, angular=0.63, left=-0.16, right=0.09
[INFO] [1775785972.753594428] [motor_controller]: cmd_vel -> linear=-0.35, angular=0.63, left=-0.20, right=0.06
[INFO] [1775785972.848634690] [motor_controller]: cmd_vel -> linear=-0.34, angular=0.64, left=-0.20, right=0.06
[INFO] [1775785973.055372615] [motor_controller]: cmd_vel -> linear=-0.09, angular=0.71, left=-0.16, right=0.12
[INFO] [1775785973.147838029] [motor_controller]: cmd_vel -> linear=-0.54, angular=0.70, left=-0.25, right=0.00
[INFO] [1775785973.352001145] [motor_controller]: cmd_vel -> linear=0.00, angular=0.54, left=-0.11, right=0.11
[INFO] [1775785973.547485196] [motor_controller]: cmd_vel -> linear=0.00, angular=0.00, left=0.00, right=0.00
[INFO] [1775785973.652497862] [motor_controller]: cmd_vel -> linear=0.00, angular=0.00, left=0.00, right=0.00
[INFO] [1775785973.753009244] [motor_controller]: cmd_vel -> linear=0.00, angular=0.00, left=0.00, right=0.00
[INFO] [1775785973.958306292] [motor_controller]: cmd_vel -> linear=0.00, angular=0.00, left=0.00, right=0.00
[INFO] [1775785974.152836856] [motor_controller]: cmd_vel -> linear=0.00, angular=0.00, left=0.00, right=0.00
[INFO] [1775785974.255354694] [motor_controller]: cmd_vel -> linear=0.00, angular=0.00, left=0.00, right=0.00
[INFO] [1775786270.284506115] [motor_controller]: cmd_vel -> linear=-0.60, angular=-0.09, left=-0.10, right=-0.14
[INFO] [1775786270.479259107] [motor_controller]: cmd_vel -> linear=-0.60, angular=-0.09, left=-0.10, right=-0.14
[INFO] [1775786270.581985575] [motor_controller]: cmd_vel -> linear=-1.05, angular=-0.05, left=-0.20, right=-0.22
[INFO] [1775786270.780260363] [motor_controller]: cmd_vel -> linear=-1.17, angular=0.01, left=-0.24, right=-0.23
[INFO] [1775786270.877315802] [motor_controller]: cmd_vel -> linear=-1.43, angular=0.14, left=-0.31, right=-0.26
[INFO] [1775786271.075295366] [motor_controller]: cmd_vel -> linear=-1.64, angular=0.16, left=-0.36, right=-0.30
[INFO] [1775786271.176178510] [motor_controller]: cmd_vel -> linear=-1.93, angular=0.11, left=-0.41, right=-0.36
[INFO] [1775786271.378900044] [motor_controller]: cmd_vel -> linear=-2.07, angular=0.09, left=-0.43, right=-0.40
